features,ChurnIndex
"(10,[1,3,5,7],[91.74,1.0,1.0,1.0])",1.0
"[2.0,71.48,136.04,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",1.0
"(10,[1,4,5,7],[65.27,1.0,1.0,1.0])",1.0
"[53.0,48.26,2075.51,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[41.0,38.79,1563.96,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[24.0,94.48,2120.41,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[60.0,92.34,5023.08,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[3.0,103.72,328.65,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[1.0,60.04,66.38,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[27.0,98.51,2687.82,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[8.0,70.63,577.57,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[72.0,42.36,3710.61,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[18.0,83.77,1450.38,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",1.0
"[50.0,40.95,2002.89,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[44.0,58.06,2144.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[71.0,97.64,6800.46,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[8.0,60.42,547.38,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[67.0,75.74,4716.23,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[7.0,83.44,531.96,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[54.0,35.82,1475.05,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[44.0,58.19,2290.91,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[29.0,59.83,1652.13,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[33.0,24.09,655.53,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[7.0,62.67,421.05,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[21.0,86.38,2022.11,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[66.0,76.1,4911.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[24.0,40.41,1135.02,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[19.0,29.22,633.11,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[37.0,37.11,1443.82,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[8.0,81.46,726.52,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[6.0,97.12,639.1,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[12.0,75.74,810.33,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[61.0,40.97,2278.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[65.0,41.4,3244.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[11.0,91.9,1025.26,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"(10,[1,3,6,8],[104.23,1.0,1.0,1.0])",0.0
"[11.0,97.84,1001.98,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"(10,[0,1,3,6,7],[8.0,82.79,1.0,1.0,1.0])",1.0
"[21.0,98.0,2164.28,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[10.0,75.65,761.76,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[51.0,69.34,3243.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[8.0,72.93,663.19,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[58.0,39.68,2407.35,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[53.0,66.64,3759.42,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[11.0,79.64,768.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[8.0,83.25,711.59,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",1.0
"(10,[0,1,3,6,8],[4.0,73.93,1.0,1.0,1.0])",0.0
"[22.0,57.66,1306.68,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[37.0,49.13,1722.14,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",1.0
"(10,[1,4,5,9],[96.14,1.0,1.0,1.0])",1.0
"[11.0,69.88,812.92,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[1.0,60.46,64.84,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[34.0,87.55,2995.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[11.0,102.2,1164.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[51.0,84.25,3788.45,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"(10,[0,1,3,5,8],[31.0,81.67,1.0,1.0,1.0])",0.0
"[10.0,106.02,1024.69,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[40.0,93.56,3393.66,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[17.0,72.35,1098.26,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[11.0,64.34,814.81,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"(10,[1,3,6,9],[91.08,1.0,1.0,1.0])",1.0
"[1.0,75.34,81.85,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[47.0,92.06,3874.33,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[59.0,66.72,3798.85,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[47.0,55.47,2861.67,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[8.0,71.84,642.71,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[47.0,40.47,2058.08,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[10.0,94.99,910.97,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[68.0,91.59,6599.27,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[8.0,87.4,773.62,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[71.0,87.03,6665.86,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[12.0,86.05,1007.72,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[9.0,77.64,778.08,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",1.0
"(10,[0,1,4,6,9],[6.0,64.82,1.0,1.0,1.0])",0.0
"[3.0,83.12,220.52,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[9.0,90.84,877.29,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[8.0,77.8,589.35,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[21.0,41.36,874.95,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[8.0,93.38,749.45,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[6.0,105.99,671.03,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[2.0,78.87,163.39,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
